age,co2,co2_sigma,ref
-0.05103,368.0224879,0.060442231,rubino2013
-0.048,361.7807366,0.37,rubino2013
-0.046279272,359.6477932,0.098000133,rubino2013
-0.044405642,357.1067397,0.159922975,rubino2013
-0.04308,353.9466853,0.043007103,rubino2013
-0.042313517,353.7242358,0.221092608,rubino2013
-0.041134817,352.4163084,0.102247179,rubino2013
-0.0399714,350.8086522,0.161870326,rubino2013
-0.039407968,349.8002704,0.135223265,rubino2013
-0.038966335,349.2784146,0.126148722,rubino2013
-0.038069512,347.5974056,0.403196474,rubino2013
-0.037208592,345.441206,0.032364403,rubino2013
-0.036616016,344.7177686,0.093879456,rubino2013
-0.036143228,343.9736768,0.060520379,rubino2013
-0.03576218,343.1107521,0.143706129,rubino2013
-0.034916753,342.0519764,0.461680582,rubino2013
-0.03307685,341.3292967,0.09745204,rubino2013
-0.033025919,339.4604885,0.301941947,rubino2013
-0.02914259,334.8485555,0.374972198,rubino2013
-0.02679675,335.5469535,0.634097003,rubino2013
-0.02667037,332.3689555,1.267072959,rubino2013
-0.025570921,332.3656863,0.039400647,rubino2013
-0.024133413,331.5498057,0.634109608,rubino2013
-0.022088334,328.415888,0.634102973,rubino2013
-0.022041018,330.3504422,2.214392032,rubino2013
-0.020872682,326.3093257,1.342143357,rubino2013
-0.020656302,326.6491948,1.161682046,rubino2013
-0.02063715,324.9059937,0.17552765,rubino2013
-0.020221683,324.5570617,0.63408787,rubino2013
-0.019423218,324.7060576,0.634078884,rubino2013
-0.018984371,325.0771759,0.634090133,rubino2013
-0.018813869,324.0855174,0.634072374,rubino2013
-0.018538749,320.3806508,1.161646626,rubino2013
-0.016789044,320.4923554,1.161661607,rubino2013
-0.016545235,322.1747797,1.342134959,rubino2013
-0.015866012,320.9815664,1.742192461,rubino2013
-0.015297878,319.1950596,0.950534086,rubino2013
-0.015226349,319.8929363,0.634067309,rubino2013
-0.013564496,319.123473,0.941408438,rubino2013
-0.013200018,319.0660644,0.634064184,rubino2013
-0.01261528,318.6110626,0.89786365,rubino2013
-0.012542092,317.4481355,0.634057346,rubino2013
-0.012395341,319.1381732,0.634064469,rubino2013
-0.012321916,317.521628,0.634057654,rubino2013
-0.0117159,316.5926101,0.635490532,rubino2013
-0.010568662,318.2065804,1.723064,rubino2013
-0.010314045,313.0933881,1.812520761,rubino2013
-0.009092696,311.9838924,1.812519207,rubino2013
-0.008562971,316.33402,0.941400487,rubino2013
-0.008102786,316.1014029,1.723060696,rubino2013
-0.007872424,314.5721663,0.410902576,rubino2013
-0.007257539,315.2703546,1.161655146,rubino2013
-0.007203374,316.3253802,0.126942975,rubino2013
-0.007103747,314.4370578,0.786277062,rubino2013
-0.0061572,315.3420739,0.635471542,rubino2013
-0.004795965,314.7139613,2.214638064,rubino2013
-0.003791544,313.171057,0.634039485,rubino2013
-0.003713937,312.8003638,0.634037949,rubino2013
-0.003558561,312.2227408,1.424334549,rubino2013
-0.002383918,312.1844627,0.410887285,rubino2013
-0.0002509,312.0017776,0.635421148,rubino2013
0.000331528,313.6602846,2.214636808,rubino2013
0.001225945,309.6939936,0.41087146,rubino2013
0.002293513,311.57095,2.214634332,rubino2013
0.003336603,310.3629002,0.634027909,rubino2013
0.00337314,312.8663621,2.214635866,rubino2013
0.004384161,312.5596868,2.214635502,rubino2013
0.00444278,311.9671347,2.082558942,rubino2013
0.004612611,311.8114965,3.123674778,rubino2013
0.00503719,310.4402044,2.564594558,rubino2013
0.005235677,311.2775835,0.410881508,rubino2013
0.005490957,310.2243096,0.634027321,rubino2013
0.006426352,312.3616402,2.214635267,rubino2013
0.007792659,311.8780536,2.768216485,rubino2013
0.007964587,312.843733,2.564597012,rubino2013
0.008220302,312.3939386,2.214635306,rubino2013
0.009160585,311.8022677,2.214634605,rubino2013
0.009245991,307.7386636,1.161638188,rubino2013
0.010031,309.800915,0.635388242,rubino2013
0.010408173,310.9510867,0.634030329,rubino2013
0.010777515,311.2117943,0.634031385,rubino2013
0.011032277,310.4566675,2.168933292,rubino2013
0.0118384,308.4798278,0.635368601,rubino2013
0.011870148,311.9410288,1.34211432,rubino2013
0.01213212,311.5205097,2.214634274,rubino2013
0.012233307,312.3293255,0.134565591,rubino2013
0.013136786,307.4076932,1.161637452,rubino2013
0.014126642,309.3446869,2.870408723,rubino2013
0.014290543,307.2585986,1.16163712,rubino2013
0.014943699,306.3197984,1.161635039,rubino2013
0.016123575,309.6306261,0.634024903,rubino2013
0.016406951,307.0755443,2.564591083,rubino2013
0.017219076,305.9440282,1.161634207,rubino2013
0.017462701,308.2791992,2.214630464,rubino2013
0.017706396,308.2555622,0.634019259,rubino2013
0.019170306,305.7409187,1.451901426,rubino2013
0.020613674,305.3808267,0.068946337,rubino2013
0.0212564,305.7829415,0.635328764,rubino2013
0.021460693,305.7053722,0.941371001,rubino2013
0.0218432,305.6678685,0.635327072,rubino2013
0.02220354,308.0187419,3.176223027,rubino2013
0.024686957,304.9691568,0.634005914,rubino2013
0.025251619,304.7159147,1.723043524,rubino2013
0.027163117,306.1986243,3.817322318,rubino2013
0.027494958,303.1815383,0.941364148,rubino2013
0.030292219,301.8758604,1.16162527,rubino2013
0.031331601,304.6132073,2.214626204,rubino2013
0.032125412,303.8522213,0.671850156,rubino2013
0.034213969,301.9151507,0.63399364,rubino2013
0.035607004,300.7000887,2.449191474,rubino2013
0.03748486,301.2977262,0.633991174,rubino2013
0.038714986,299.2572775,1.723035441,rubino2013
0.038904612,297.7268154,1.723033214,rubino2013
0.039284149,298.106247,2.564582196,rubino2013
0.040235231,297.8691068,1.161616585,rubino2013
0.041476092,301.5041354,2.214622632,rubino2013
0.0442258,299.6268629,0.635239131,rubino2013
0.044456437,297.3282186,0.633975438,rubino2013
0.044649196,299.0235966,0.633982133,rubino2013
0.046093475,295.9913578,0.941344934,rubino2013
0.048298125,295.6106368,1.330060371,rubino2013
0.049821649,294.2207216,1.161608778,rubino2013
0.051057595,297.0473645,2.214617575,rubino2013
0.05134284,295.2814575,0.633967405,rubino2013
0.056243675,293.8088307,0.941339193,rubino2013
0.056341179,293.1665417,1.723026649,rubino2013
0.0569397,295.3164627,0.63517745,rubino2013
0.057121604,294.8594308,1.723029074,rubino2013
0.057609481,295.1719293,0.633966977,rubino2013
0.060131058,290.9175394,1.161601792,rubino2013
0.060992519,292.3423879,0.67604996,rubino2013
0.062605533,294.3417875,0.633963736,rubino2013
0.064399871,288.1157637,2.012887925,rubino2013
0.0658201,289.2265988,0.616607284,rubino2013
0.066208528,289.7624132,0.941328661,rubino2013
0.067077646,292.4639348,0.950462496,rubino2013
0.070049416,287.7707292,1.16159521,rubino2013
0.073094783,289.3281311,0.633944357,rubino2013
0.07626202,291.5581975,2.21461145,rubino2013
0.077173622,286.6550967,1.342066932,rubino2013
0.079955314,286.3257815,1.161592212,rubino2013
0.080343878,287.9864944,0.633939227,rubino2013
0.081585087,289.5361449,1.723021494,rubino2013
0.0822696,287.9922513,0.412768833,rubino2013
0.083256112,285.0522923,1.677474062,rubino2013
0.085871618,286.6541582,1.161592892,rubino2013
0.087021444,285.3533188,0.941317351,rubino2013
0.088165519,287.1745622,0.633936134,rubino2013
0.091155959,286.6330756,0.410730917,rubino2013
0.093379672,283.1621007,1.1615857,rubino2013
0.095281619,285.5655772,0.633930031,rubino2013
0.096291725,288.0544375,2.2146076,rubino2013
0.098894353,285.4658309,0.633929654,rubino2013
0.099173,288.7903954,0.412785873,rubino2013
0.099737618,284.001634,1.161587421,rubino2013
0.1026782,286.8392375,0.635058731,rubino2013
0.104095109,283.6198857,1.342061519,rubino2013
0.105345346,283.182872,1.161585743,rubino2013
0.10553889,283.5311237,1.161586456,rubino2013
0.106706787,281.5814826,1.161582475,rubino2013
0.109171843,283.6545457,0.633922827,rubino2013
