age,esl
0,8.5
1,7.6
2,4
3,4.3
4,3.1
5,0
6,-4
7,-6.1
8,-9.1
9,-15.8
10,-24.6
11,-35.8
12,-51
13,-66.3
14,-76.6
15,-86.5
16,-98
17,-107.3
18,-113
19,-116.7
20,-117.6
21,-120
22,-125.8
23,-128.7
24,-130
25,-126.9
26,-122.4
27,-118.3
28,-115.2
29,-110.9
30,-105.8
31,-103.5
32,-100.7
33,-97.5
34,-97.4
35,-98.9
36,-99.4
37,-95.3
38,-93.1
39,-90.3
40,-85.9
41,-79.8
42,-75.8
43,-73.9
44,-76.2
45,-74.5
46,-75.8
47,-73.7
48,-76.7
49,-73.7
50,-68.3
51,-63.1
52,-67.9
53,-68.9
54,-70.1
55,-72.3
56,-78
57,-82.7
58,-85.7
59,-82.9
60,-84.7
61,-86.6
62,-84.3
63,-84.8
64,-83.5
65,-82.7
66,-82.5
67,-79.4
68,-71.1
69,-68.1
70,-65.4
71,-51.5
72,-46.7
73,-43.9
74,-36.2
75,-33.1
76,-31.6
77,-27.7
78,-28.8
79,-32.9
80,-30.9
81,-31.4
82,-29.7
83,-25.6
84,-30.7
85,-30
86,-38.8
87,-43.1
88,-46.6
89,-43.5
90,-43.6
91,-40.3
92,-41.7
93,-42.2
94,-40.5
95,-34.2
96,-27.7
97,-22.2
98,-21.2
99,-17.2
100,-19.5
101,-17.7
102,-25
103,-29.4
104,-31.7
105,-34.3
106,-40.3
107,-45
108,-44.5
109,-45.9
110,-46.4
111,-47.1
112,-43.2
113,-38.9
114,-33.8
115,-26.2
116,-22.5
117,-14.1
118,-7.5
119,-4
120,2.7
121,3.1
122,2.3
123,1.2
124,-1.2
125,-6.6
126,-12.7
127,-27
128,-36
129,-52.8
130,-73.6
131,-82.8
132,-102
133,-114.3
134,-120.2
135,-123.7
136,-123.9
137,-123.5
138,-122.6
139,-120.9
140,-118.8
141,-113.4
142,-110.7
143,-106.7
144,-102.3
145,-100.3
146,-100.6
147,-99.5
148,-99.1
149,-96.9
150,-90.7
151,-86.8
152,-85.8
153,-85.1
154,-86.8
155,-89.6
156,-92.4
157,-92.6
158,-88.8
159,-87.9
160,-86.9
161,-85.2
162,-78.7
163,-77
164,-74.4
165,-71.6
166,-65.2
167,-61.6
168,-61.5
169,-58.1
170,-55.3
171,-57.7
172,-64.4
173,-63.1
174,-62.1
175,-61.4
176,-63.6
177,-62.5
178,-66
179,-68.5
180,-68
181,-68.5
182,-68.5
183,-68.8
184,-70.3
185,-71.5
186,-67.5
187,-64.1
188,-59
189,-55.7
190,-50.9
191,-44.9
192,-37.3
193,-32.8
194,-32.4
195,-26.1
196,-21.7
197,-13.5
198,-10.1
199,-7.7
200,-11.2
201,-19.5
202,-21.5
203,-26.5
204,-23.7
205,-14.3
206,-9.8
207,-14
208,-10.1
209,-10.5
210,-11.4
211,-9.4
212,-7.3
213,-6.7
214,-7
215,-9.1
216,-13
217,-23.4
218,-29.2
219,-36.7
220,-49.3
221,-61.7
222,-67
223,-73.6
224,-72.1
225,-74.3
226,-70.6
227,-66.8
228,-65.4
229,-65
230,-59.1
231,-51.4
232,-41.7
233,-31.5
234,-26.4
235,-21.3
236,-15
237,-9.4
238,-14.7
239,-21
240,-26.2
241,-35.1
242,-44.8
243,-53.6
244,-58.1
245,-54.4
246,-73
247,-80.6
248,-86.6
249,-88.2
250,-91.7
251,-94.3
252,-94.4
253,-95.6
254,-91.9
255,-86.8
256,-90.2
257,-93.5
258,-93.6
259,-89.8
260,-81
261,-78.3
262,-77.7
263,-77.5
264,-85.4
265,-84.5
266,-82.1
267,-82.8
268,-93.1
269,-97.2
270,-98.2
271,-90
272,-80.2
273,-76.1
274,-74.4
275,-67.5
276,-61.8
277,-56.7
278,-53.5
279,-50.1
280,-46
281,-39.8
282,-37.9
283,-36.6
284,-35
285,-35.1
286,-36.5
287,-37.8
288,-42.7
289,-51.8
290,-56.7
291,-58.5
292,-56.5
293,-54.8
294,-53.2
295,-52.4
296,-48.9
297,-48.3
298,-47.5
299,-45.3
300,-42.8
301,-39.5
302,-38
303,-33
304,-35.3
305,-39.4
306,-35.7
307,-30.5
308,-31.1
309,-27.9
310,-24.1
311,-22.2
312,-21.9
313,-18.4
314,-12.4
315,-12.1
316,-9.8
317,-10.4
318,-10.8
319,-11.2
320,-8.4
321,-6.8
322,-2.4
323,-0.6
324,-2.5
325,-7.7
326,-7.7
327,-3
328,-0.6
329,-1.7
330,-6.8
331,-16.3
332,-33.9
333,-36.9
334,-48
335,-58.3
336,-74.3
337,-85.6
338,-91.1
339,-93.2
340,-96.8
341,-103.8
342,-108
343,-108.5
344,-108.7
345,-108.9
346,-105.7
347,-103.2
348,-102.6
349,-101
350,-97
351,-89.9
352,-85.1
353,-84
354,-86.5
355,-91.1
356,-94.9
357,-93
358,-91.8
359,-88.6
360,-84.7
361,-78.8
362,-71.1
363,-66.1
364,-66.4
365,-65
366,-57.2
367,-50.4
368,-49.2
369,-48
370,-49.3
371,-49.2
372,-46.8
373,-48.4
374,-47.4
375,-50.1
376,-48.2
377,-50.2
378,-49.5
379,-37.8
380,-26.5
381,-24
382,-28.9
383,-27.8
384,-27.2
385,-25
386,-22.2
387,-19
388,-21.6
389,-26.2
390,-28.4
391,-23.4
392,-17.9
393,-9.7
394,-6.5
395,-4.2
396,-3.1
397,-1
398,3.2
399,10.3
400,14.7
401,14.1
402,13.1
403,14.6
404,16
405,12.9
406,11.2
407,10.3
408,7.9
409,5.5
410,-3.3
411,-7.6
412,-11.9
